Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,10.0,Tuesday,31.0,0,4.0,4,39.0,low
12:15:00 AM,10.0,Tuesday,49.0,0,3.0,3,55.0,low
12:30:00 AM,10.0,Tuesday,46.0,0,3.0,6,55.0,low
12:45:00 AM,10.0,Tuesday,51.0,0,2.0,5,58.0,low
1:00:00 AM,10.0,Tuesday,57.0,6,15.0,16,94.0,normal
1:15:00 AM,10.0,Tuesday,44.0,0,5.0,4,53.0,low
1:30:00 AM,10.0,Tuesday,37.0,0,1.0,4,42.0,low
1:45:00 AM,10.0,Tuesday,42.0,4,4.0,5,55.0,low
2:00:00 AM,10.0,Tuesday,51.0,0,9.0,7,67.0,low
2:15:00 AM,10.0,Tuesday,34.0,0,4.0,7,45.0,low
2:30:00 AM,10.0,Tuesday,45.0,0,1.0,1,47.0,low
2:45:00 AM,10.0,Tuesday,45.0,0,1.0,3,49.0,low
3:00:00 AM,10.0,Tuesday,50.0,0,3.0,0,53.0,low
3:15:00 AM,10.0,Tuesday,34.0,0,4.0,4,42.0,low
3:30:00 AM,10.0,Tuesday,129.0,22,42.0,1,194.0,heavy
3:45:00 AM,10.0,Tuesday,144.0,16,49.0,0,209.0,heavy
4:00:00 AM,10.0,Tuesday,111.0,28,20.0,3,162.0,normal
4:15:00 AM,10.0,Tuesday,67.0,11,10.0,16,104.0,normal
4:30:00 AM,10.0,Tuesday,65.0,24,7.0,16,112.0,normal
4:45:00 AM,10.0,Tuesday,94.0,27,7.0,16,144.0,normal
5:00:00 AM,10.0,Tuesday,94.0,20,8.0,7,129.0,normal
5:15:00 AM,10.0,Tuesday,67.0,29,5.0,10,111.0,low
5:30:00 AM,10.0,Tuesday,56.0,12,2.0,14,84.0,normal
5:45:00 AM,10.0,Tuesday,57.0,13,3.0,11,84.0,low
6:00:00 AM,10.0,Tuesday,129.0,22,42.0,1,194.0,heavy
6:15:00 AM,10.0,Tuesday,144.0,16,49.0,0,209.0,heavy
6:30:00 AM,10.0,Tuesday,111.0,28,20.0,3,162.0,normal
6:45:00 AM,10.0,Tuesday,120.0,27,46.0,3,196.0,heavy
7:00:00 AM,10.0,Tuesday,102.0,39,47.0,1,189.0,heavy
7:15:00 AM,10.0,Tuesday,145.0,23,27.0,0,195.0,heavy
7:30:00 AM,10.0,Tuesday,114.0,37,21.0,5,177.0,heavy
7:45:00 AM,10.0,Tuesday,108.0,18,22.0,1,149.0,normal
8:00:00 AM,10.0,Tuesday,122.0,28,33.0,1,184.0,heavy
8:15:00 AM,10.0,Tuesday,114.0,39,30.0,3,186.0,heavy
